touch_date,entry_date,exit_date,direction,entry_price,sl_price,tp_price_ref,exit_price,sl_pips,tp_pips_estimated,result_pips,rr_ratio_estimated,rr_ratio_real,outcome,candles_away,candles_held,adx,plus_di,minus_di,rsi,atr
2025-02-27 12:00:00,2025-02-28 00:00:00,2025-02-28 20:00:00,LONG,1.03937,1.03712,1.04557,1.03712,22.5,62.0,-22.5,2.75,1.0,LOSS,3,5,17.04,14.22,30.17,30.82,0.00282
2025-03-03 12:00:00,2025-03-04 08:00:00,2025-03-04 12:00:00,SHORT,1.05211,1.05448,1.04558,1.05448,23.8,65.3,-23.8,2.75,1.0,LOSS,5,1,17.01,31.54,18.89,63.97,0.00297
2025-03-20 08:00:00,2025-03-21 16:00:00,2025-03-24 08:00:00,LONG,1.07977,1.07732,1.0865,1.0853,24.5,67.3,55.3,2.75,2.26,WIN,8,4,35.44,12.5,33.66,35.69,0.00306
2025-03-25 16:00:00,2025-03-27 00:00:00,2025-03-27 12:00:00,LONG,1.07372,1.07147,1.07992,1.07943,22.5,62.0,57.0,2.75,2.53,WIN,8,3,33.04,10.32,28.85,35.0,0.00282
2025-04-03 00:00:00,2025-04-03 12:00:00,2025-04-03 16:00:00,SHORT,1.09674,1.10035,1.08679,1.10035,36.2,99.5,-36.2,2.75,1.0,LOSS,3,1,29.32,46.52,6.97,86.42,0.00452
2025-04-10 08:00:00,2025-04-10 20:00:00,2025-04-11 00:00:00,SHORT,1.11903,1.12472,1.1034,1.12472,56.9,156.4,-56.9,2.75,1.0,LOSS,3,1,20.99,32.38,12.31,68.1,0.00711
2025-04-16 00:00:00,2025-04-21 00:00:00,2025-04-21 04:00:00,SHORT,1.14764,1.1516,1.13674,1.1516,39.6,109.0,-39.6,2.75,1.0,LOSS,18,1,37.88,33.83,8.93,70.11,0.00496
2025-05-08 16:00:00,2025-05-09 04:00:00,2025-05-09 16:00:00,LONG,1.12046,1.11731,1.12914,1.12822,31.5,86.8,77.5,2.75,2.46,WIN,3,3,19.02,12.25,29.63,34.42,0.00394
2025-05-09 16:00:00,2025-05-12 08:00:00,2025-05-12 12:00:00,LONG,1.1162,1.11273,1.12576,1.11273,34.7,95.5,-34.7,2.75,1.0,LOSS,4,1,22.09,13.69,45.79,25.31,0.00434
2025-05-19 08:00:00,2025-05-21 04:00:00,2025-05-21 08:00:00,SHORT,1.13229,1.13522,1.12424,1.13522,29.3,80.6,-29.3,2.75,1.0,LOSS,11,1,20.82,35.49,15.2,68.26,0.00366
2025-05-23 00:00:00,2025-05-26 04:00:00,2025-05-27 08:00:00,SHORT,1.14061,1.14358,1.13247,1.13509,29.6,81.5,55.2,2.75,1.86,WIN,7,7,31.24,33.41,10.01,71.91,0.0037
2025-05-28 12:00:00,2025-05-29 00:00:00,2025-05-29 12:00:00,LONG,1.12429,1.12144,1.13211,1.13137,28.4,78.2,70.8,2.75,2.49,WIN,3,3,23.54,13.33,32.31,33.52,0.00355
2025-05-30 16:00:00,2025-06-02 08:00:00,2025-06-03 12:00:00,SHORT,1.14304,1.14606,1.13473,1.13824,30.2,83.0,48.0,2.75,1.59,WIN,4,7,15.46,29.22,16.61,64.19,0.00377
2025-06-04 12:00:00,2025-06-05 16:00:00,2025-06-06 08:00:00,SHORT,1.14813,1.1509,1.14049,1.14149,27.8,76.3,66.3,2.75,2.39,WIN,7,4,19.67,29.55,10.13,61.99,0.00347
2025-06-11 08:00:00,2025-06-12 00:00:00,2025-06-12 08:00:00,SHORT,1.15133,1.15395,1.14411,1.15395,26.2,72.1,-26.2,2.75,1.0,LOSS,4,2,17.93,30.25,12.2,71.84,0.00328
2025-06-23 16:00:00,2025-06-24 04:00:00,2025-06-24 16:00:00,SHORT,1.16096,1.16395,1.15275,1.16395,29.9,82.1,-29.9,2.75,1.0,LOSS,3,3,17.35,32.04,18.29,66.77,0.00373
