touch_date,entry_date,exit_date,direction,entry_price,sl_price,tp_price_ref,exit_price,sl_pips,tp_pips_estimated,result_pips,rr_ratio_estimated,rr_ratio_real,outcome,candles_away,candles_held,adx,plus_di,minus_di,rsi,atr
2019-02-13 14:00:00,2019-02-14 02:00:00,2019-02-14 06:00:00,SHORT,111.02622,111.08723,110.82575,111.08723,6.1,20.0,-6.1,3.29,1.0,LOSS,12,4,34.72,27.44,13.55,63.66,0.08716
2019-02-14 16:00:00,2019-02-14 18:00:00,2019-02-14 22:00:00,LONG,110.62555,110.5462,110.88628,110.5462,7.9,26.1,-7.9,3.29,1.0,LOSS,2,4,33.95,22.57,33.33,39.17,0.11336
2019-02-27 16:00:00,2019-02-27 17:00:00,2019-02-27 18:00:00,SHORT,110.80499,110.87148,110.58652,110.87148,6.6,21.8,-6.6,3.29,0.99,LOSS,1,1,35.91,31.46,19.76,64.42,0.09499
2019-03-08 03:00:00,2019-03-08 06:00:00,2019-03-08 07:00:00,LONG,111.34332,111.27275,111.57519,111.27275,7.1,23.2,-7.1,3.29,1.01,LOSS,3,1,16.98,14.17,26.7,35.55,0.10081
2019-03-13 18:00:00,2019-03-13 21:00:00,2019-03-14 00:00:00,LONG,111.04854,110.98061,111.2717,111.24854,6.8,22.3,20.0,3.29,2.94,WIN,3,3,11.44,16.73,31.21,29.13,0.09703
2019-03-14 04:00:00,2019-03-14 13:00:00,2019-03-14 19:00:00,SHORT,111.71221,111.78746,111.46494,111.78746,7.5,24.7,-7.5,3.29,1.0,LOSS,9,6,23.95,31.59,17.11,61.97,0.10751
2019-03-18 18:00:00,2019-03-18 19:00:00,2019-03-19 05:00:00,LONG,111.30366,111.24231,111.50524,111.24231,6.1,20.2,-6.1,3.29,0.99,LOSS,1,10,14.76,16.51,29.01,35.63,0.08764
2019-03-20 02:00:00,2019-03-20 03:00:00,2019-03-20 04:00:00,SHORT,111.59607,111.65946,111.38779,111.65946,6.3,20.8,-6.3,3.29,0.99,LOSS,1,1,27.38,27.47,23.02,69.08,0.09056
2019-04-10 17:00:00,2019-04-10 18:00:00,2019-04-10 20:00:00,LONG,110.92937,110.86716,111.13378,110.86716,6.2,20.4,-6.2,3.29,1.0,LOSS,1,2,17.73,15.08,25.07,34.1,0.08887
2019-04-23 16:00:00,2019-04-23 17:00:00,2019-04-23 18:00:00,SHORT,112.02191,112.0635,111.88526,111.88485,4.2,13.7,13.7,3.29,3.29,WIN,1,1,18.26,28.74,16.72,53.01,0.05941
2019-04-29 23:00:00,2019-04-30 17:00:00,2019-04-30 18:00:00,LONG,111.26657,111.2066,111.46362,111.45499,6.0,19.7,18.8,3.29,3.13,WIN,18,1,36.91,13.14,26.59,32.54,0.08567
2019-05-01 17:00:00,2019-05-01 20:00:00,2019-05-01 22:00:00,LONG,111.15248,111.09514,111.34091,111.09514,5.7,18.8,-5.7,3.29,0.99,LOSS,3,2,21.66,16.87,30.86,33.87,0.08192
2019-05-03 16:00:00,2019-05-03 18:00:00,2019-05-03 18:00:00,LONG,111.26161,111.20638,111.44308,111.20638,5.5,18.1,-5.5,3.29,1.0,LOSS,2,0,14.31,25.06,29.39,30.09,0.0789
2019-05-15 11:00:00,2019-05-15 17:00:00,2019-05-15 18:00:00,LONG,109.21555,109.13187,109.49049,109.48807,8.4,27.5,27.3,3.29,3.26,WIN,6,1,21.38,14.59,28.57,36.93,0.11954
2019-05-29 20:00:00,2019-05-29 23:00:00,2019-05-30 10:00:00,SHORT,109.67522,109.76332,109.38573,109.76332,8.8,28.9,-8.8,3.29,1.0,LOSS,3,11,24.07,25.26,16.2,64.06,0.12586
2019-06-18 05:00:00,2019-06-18 06:00:00,2019-06-18 07:00:00,LONG,108.3385,108.28173,108.52506,108.28173,5.7,18.7,-5.7,3.29,1.0,LOSS,1,1,22.38,17.04,27.6,35.0,0.08111
2019-06-18 17:00:00,2019-06-18 18:00:00,2019-06-18 19:00:00,SHORT,108.65946,108.73896,108.39826,108.39757,7.9,26.1,26.2,3.29,3.3,WIN,1,1,27.65,27.95,14.32,54.66,0.11357
2019-06-25 04:00:00,2019-06-25 06:00:00,2019-06-25 07:00:00,LONG,107.04647,106.9711,107.29413,106.9711,7.5,24.8,-7.5,3.29,1.0,LOSS,2,1,11.77,19.62,30.06,27.07,0.10768
2019-06-26 02:00:00,2019-06-26 16:00:00,2019-06-26 22:00:00,SHORT,107.72842,107.81663,107.43861,107.81663,8.8,29.0,-8.8,3.29,1.0,LOSS,14,6,29.91,29.45,14.56,65.96,0.12601
2019-06-28 23:00:00,2019-07-01 05:00:00,2019-07-01 10:00:00,SHORT,108.2808,108.37388,107.97498,108.37388,9.3,30.6,-9.3,3.29,1.0,LOSS,6,5,23.43,33.15,18.45,60.08,0.13297
